Date,Open,High,Low,Close,Volume,Value,Change,Ticker
2021-03-31,82400,82700,81400,81400,17240518,1413779202400,-0.97,005930
2021-04-01,82500,83000,82000,82900,18676461,1542484638200,1.84,005930
2021-04-02,84000,85200,83900,84800,22997538,1947586897500,2.29,005930
2021-04-05,85800,86000,84800,85400,16255990,1385160353200,0.71,005930
2021-04-06,86200,86200,85100,86000,19042023,1633460653000,0.7,005930
2021-04-07,86100,86200,85400,85600,17885538,1532760739551,-0.47,005930
2021-04-08,85700,85700,84100,84700,19244259,1629938227200,-1.05,005930
2021-04-09,84700,84900,83400,83600,18193707,1527078831700,-1.3,005930
2021-04-12,84100,84100,83100,83200,12915282,1078274477112,-0.48,005930
2021-04-13,83000,84500,82800,84000,15238206,1276903128038,0.96,005930
2021-04-14,84000,84300,83400,84000,13794652,1156326758700,0.0,005930
2021-04-15,83700,84500,83400,84100,16377412,1375438313400,0.12,005930
2021-04-16,84700,84700,83600,83900,15429522,1294516674200,-0.24,005930
2021-04-19,83800,84000,83300,83300,15287311,1277281507900,-0.72,005930
2021-04-20,83300,84000,83100,83900,15521965,1298185983040,0.72,005930
2021-04-21,83300,83500,82500,82600,21636079,1792608597200,-1.55,005930
2021-04-22,82900,83000,82400,82400,13934746,1151303986200,-0.24,005930
2021-04-23,81900,82900,81600,82800,17805080,1464208204100,0.49,005930
2021-04-26,82900,83500,82600,83500,15489938,1286360030996,0.85,005930
2021-04-27,83200,83300,82500,82900,12941533,1071381962500,-0.72,005930
2021-04-28,83200,83200,82100,82100,15596759,1284554388615,-0.97,005930
2021-04-29,82400,82500,81500,81700,20000973,1638811445660,-0.49,005930
2021-04-30,81900,82100,81500,81500,18673197,1525090284512,-0.24,005930
2021-05-03,81000,82400,81000,81700,15710336,1284767138340,0.25,005930
2021-05-04,81900,82600,81800,82600,12532550,1030147174860,1.1,005930
2021-05-06,81700,82300,81700,82300,17047511,1397109294200,-0.36,005930
2021-05-07,81800,82100,81500,81900,14154882,1158685043300,-0.49,005930
2021-05-10,82300,83500,81800,83200,19385027,1603729206300,1.59,005930
2021-05-11,82500,82600,81100,81200,28996680,2365998053700,-2.4,005930
2021-05-12,80800,81200,79800,80000,35812268,2876601949600,-1.48,005930
2021-05-13,78900,79600,78400,78500,31490096,2482903301914,-1.88,005930
2021-05-14,79000,80300,78900,80100,16450920,1313024424300,2.04,005930
2021-05-17,80800,80900,79200,79600,17740855,1414228804206,-0.62,005930
2021-05-18,79600,80000,79100,79600,17494407,1393769049380,0.0,005930
2021-05-20,79400,79700,79100,79500,16541828,1314426651400,-0.13,005930
2021-05-21,80100,81500,79800,80100,20961714,1687345199300,0.75,005930
2021-05-24,80100,80400,79500,79700,13398666,1069031356223,-0.5,005930
2021-05-25,80000,80400,79800,79900,13628942,1091584785700,0.25,005930
2021-05-26,80400,80500,79700,79800,11984359,959016261770,-0.13,005930
2021-05-27,80000,80000,79100,79600,23198510,1845463410840,-0.25,005930
2021-05-28,79800,80400,79400,80100,12360199,988665902752,0.63,005930
2021-05-31,80300,80600,79600,80500,13321324,1065281026200,0.5,005930
2021-06-01,80500,81300,80100,80600,14058401,1135461759600,0.12,005930
2021-06-02,80400,81400,80300,80800,16414644,1327714187652,0.25,005930
2021-06-03,81300,83000,81100,82800,29546007,2438122987382,2.48,005930
2021-06-04,82700,82700,81500,82200,18112259,1487791197200,-0.72,005930
2021-06-07,82700,82800,81600,81900,16496197,1353520859143,-0.36,005930
2021-06-08,82300,82600,81800,81900,12781226,1049384778500,0.0,005930
2021-06-09,81500,82000,81100,81100,14908823,1214345795800,-0.98,005930
2021-06-10,81300,81400,80900,81000,17586995,1426082429800,-0.12,005930
2021-06-11,81200,81700,80700,81000,14087962,1142077783332,0.0,005930
2021-06-14,80800,80900,80500,80500,10550078,850453174124,-0.62,005930
2021-06-15,80900,81200,80600,80900,10075685,814156162500,0.5,005930
2021-06-16,81500,81900,81100,81800,14999855,1223108169181,1.11,005930
2021-06-17,81100,81300,80700,80900,14007385,1132293020100,-1.1,005930
2021-06-18,81100,81100,80500,80500,14916721,1202369230300,-0.49,005930
2021-06-21,79700,80000,79600,79900,16063340,1282081340900,-0.75,005930
2021-06-22,80200,80300,79900,80000,11773365,942656966106,0.13,005930
2021-06-23,80500,80600,79900,80100,13856548,1110045011672,0.13,005930
2021-06-24,80400,81400,80100,81200,18771080,1515729920909,1.37,005930
2021-06-25,81500,81900,81200,81600,13481405,1099148742353,0.49,005930
2021-06-28,81700,82000,81600,81900,11578529,946992165410,0.37,005930
2021-06-29,81900,82100,80800,81000,15744317,1277813841567,-1.1,005930
2021-06-30,81100,81400,80700,80700,13288643,1075902355151,-0.37,005930
2021-07-01,80500,80600,80000,80100,13382882,1073188213795,-0.74,005930
2021-07-02,80000,80400,79900,80000,8753097,701206526029,-0.12,005930
2021-07-05,80100,80800,80000,80400,8330969,670345813400,0.5,005930
2021-07-06,80600,81200,80500,81200,12131651,982536524900,1.0,005930
2021-07-07,81200,81300,80300,80800,15992202,1289550531000,-0.49,005930
2021-07-08,81100,81200,79900,79900,16660998,1338741304400,-1.11,005930
2021-07-09,79600,79800,79000,79400,22720577,1801821474504,-0.63,005930
2021-07-12,79900,80000,79500,79700,9768108,779142132784,0.38,005930
2021-07-13,80000,80200,79800,79800,9863450,788804172500,0.13,005930
2021-07-14,79400,79600,79100,79500,11575636,918601137185,-0.38,005930
2021-07-15,79800,80600,79500,80600,13766279,1102123440533,1.38,005930
2021-07-16,80100,80100,79500,79800,10859399,865953289940,-0.99,005930
2021-07-19,79100,79200,78800,79000,13155414,1039019131200,-1.0,005930
2021-07-20,78500,79000,78400,79000,12456646,979765694400,0.0,005930
2021-07-21,79000,79100,78500,78500,12355296,971439241800,-0.63,005930
2021-07-22,79000,79800,78900,79700,12618790,1003545619247,1.53,005930
2021-07-23,79700,79900,79200,79300,9098910,723397885611,-0.5,005930
2021-07-26,79400,79500,78800,78800,10040975,792954940200,-0.63,005930
2021-07-27,79200,79400,78500,78500,11427693,900948843000,-0.38,005930
2021-07-28,78300,79200,78100,79200,12743417,1000757015703,0.89,005930
2021-07-29,78800,79400,78800,79000,14360453,1134761032300,-0.25,005930
2021-07-30,78900,78900,78500,78500,13823411,1086488907610,-0.63,005930
2021-08-02,79200,79500,78700,79300,11739124,929153637896,1.02,005930
2021-08-03,79400,81400,79300,81400,24339360,1966480433000,2.65,005930
2021-08-04,82200,83100,81800,82900,25642368,2117643006850,1.84,005930
2021-08-05,83300,83300,82000,82100,18485469,1526103630900,-0.97,005930
2021-08-06,81900,82500,81300,81500,13342623,1090225883400,-0.73,005930
2021-08-09,81500,82300,80900,81500,15522581,1267668377900,0.0,005930
2021-08-10,82300,82400,80100,80200,20362639,1643107615500,-1.6,005930
2021-08-11,79600,79800,78500,78500,30241137,2389977254924,-2.12,005930
2021-08-12,77100,78200,76900,77000,42365223,3276635421700,-1.91,005930
2021-08-13,75800,76000,74100,74400,61270643,4575267536355,-3.38,005930
2021-08-17,74000,75100,74000,74200,30944847,2304422906794,-0.27,005930
2021-08-18,73900,74600,73100,73900,29192631,2156728137400,-0.4,005930
2021-08-19,73500,74400,73100,73100,22166298,1630828844000,-1.08,005930
2021-08-20,73500,73900,72500,72700,22364803,1633795697700,-0.55,005930
2021-08-23,73300,74000,73000,73300,19384648,1424674875510,0.83,005930
2021-08-24,73900,75700,73900,75600,21016913,1574547628640,3.14,005930
2021-08-25,76200,76600,74900,75700,22319664,1688297846500,0.13,005930
2021-08-26,76100,76200,74600,74600,16671494,1254628461500,-1.45,005930
2021-08-27,74300,75000,73800,74300,15172748,1128028045800,-0.4,005930
2021-08-30,75400,75500,74200,74600,12686999,945673383900,0.4,005930
2021-08-31,74900,76700,74300,76700,24630370,1864084402507,2.82,005930
2021-09-01,76700,77100,75900,76800,16114775,1233406384400,0.13,005930
2021-09-02,76800,76800,75700,76000,15347486,1168535621773,-1.04,005930
2021-09-03,76400,76700,76000,76600,12096419,925331114200,0.79,005930
2021-09-06,76800,77600,76600,77300,12861180,993041466900,0.91,005930
2021-09-07,77100,77100,75900,76100,13239401,1008596148650,-1.55,005930
2021-09-08,76000,76400,75600,76300,11798147,897864198600,0.26,005930
